scores,group
74.62724313641118,A
59.591498467201035,A
56.47549445090003,A
64.4157963056724,A
62.01764781968467,A
56.621551761916216,A
66.76627200996798,A
53.39882579443667,A
87.27747627434259,A
55.07398635584307,A
63.53700500699251,A
65.96445043153089,A
86.84684964605621,A
52.69684689575822,A
71.42050091917568,A
80.37158464944625,A
66.90256896517394,A
58.301829678289906,A
68.92015035646942,A
85.27101259892477,A
68.84214155232289,B
89.36183468077766,B
77.58666912010217,B
87.3251421173625,B
77.1868309227614,B
70.15624308030696,B
91.38859986373953,B
77.25235352805603,B
76.66429535803161,B
83.07555631605429,B
84.24152383085536,B
83.128564642381,B
61.49278047058493,B
68.62764467924123,B
68.43471048531183,B
67.20919770752124,B
66.2789623459644,B
68.28976088849305,B
78.35948742854161,B
79.94409287249829,B
79.98364033355902,C
75.7396766143558,C
92.7546324865362,C
79.08433939350162,C
89.37072520315178,C
74.30673869451222,C
84.13712799952074,C
93.42088504305914,C
53.912119903156245,C
73.44914716175921,C
85.93742175841211,C
92.12815073682685,C
82.03113547946506,C
80.49572729299405,C
96.105784632233,C
92.7399339058882,C
71.31418062952301,C
81.16410980120757,C
83.60169002135515,C
97.18599374013687,C
